sentence	악플/욕설	기타_혐오	clean	남탓	감정표출	좌절	칭찬	게임오더	source
1인 스코시즘 잘 해내야 된다	0	0	0	0	0	0	0	1	stt
내가 밟고 있어야 돼	0	0	0	0	0	0	0	1	stt
빨리 해	0	0	0	0	0	0	0	1	stt
욕처먹을만 하지남의 나라와서 이쪽에 물들생각은 안하고남의 나리를 자기들에게 물들게 만들 생각만 함	0	1	0	0	0	0	0	0	unsmile
빨간색아 얘는 점프욕이 낮은거야	0	1	0	0	0	0	0	0	stt
[유저] 뭐가 나오는데 너무 쉬운데 응 이제 하잖아	0	0	1	0	0	0	0	0	stt
성중독이다 정상이 아니네 에이즈 코로나 슈퍼전파자 무섭다 동서울 터미널 3층 화장실 폐쇠했으면 좋겠다	0	1	0	0	0	0	0	0	unsmile
가운데 아니	0	0	0	0	0	0	0	0	stt
저새끼는 주적이 누군지도모르는데 저기 왜감	1	0	0	0	0	0	0	0	unsmile
결혼이 걍 성매매임 보지년들 결혼 목적이 능력남 물어서 평생 보지 대주는 대가로 빨대꼽는건데	0	1	0	0	0	0	0	0	unsmile
아 점프 점프하면서 가야되네 턱에 걸려 턱에 걸려 위부터 재빠르게 점프 위부터 위부터 내려가는 속도가 느리기 때문에 점프 연타 점프 연타 6번 8번 4번 이렇게 하는거에요	0	0	0	0	0	1	0	0	stt
브로커 인정했네	0	0	1	0	0	0	0	0	unsmile
와우 목사는 진실만 이야기하는줄 알았는데 말 안하는 것도 감추는 것인데 신천지는 거짓말쟁이들이더만 개신교 목사는 진실을 숨기는 인간이네	0	0	1	0	0	0	0	0	unsmile
둘이 딱 좋다	0	1	0	0	0	0	0	0	stt
옳게된 나라는 이런거야	0	1	0	0	0	0	0	0	unsmile
잘못인건 아니지만 자랑할것도 아니라고 본다	0	0	0	0	0	0	0	1	unsmile
일본냄저가 죽인 여자보다 한남이 죽인 여자가 훨씬 많다 오래 여자를 짓밟고 노예처럼 부리고 폭행 살해해온 좆병신은 한남인데 애먼 일본을 보지들까지 싸잡아 욕하고 부랄이노	0	0	1	0	0	0	0	0	unsmile
빼박 이적행위 북문자원	0	0	1	0	0	0	0	0	unsmile
자 2번 말씀 주시죠	0	0	0	0	0	0	0	0	stt
생리컵 저 큰거라니	0	0	0	0	0	0	0	0	unsmile
아이 그거는 누군지도 모르잖아	0	1	0	0	0	0	0	0	stt
작아져서 가야되네	0	1	0	0	0	0	0	0	stt
다 생긴거 괜찮을듯한 남자들만 찍었네 기럭지 짧고 옆으론 두껍고 남성형 유방과 골반 면상은 함몰에 뒤통수 눌린 조선보지들은 감히 비비지도 못할 레벨인데 아무래도 은근 맘에들어서 클리 비빌때 쓰려고 찍은듯 하다	0	1	0	0	0	0	0	0	unsmile
가자 왼쪽으로 좀 갔다가 거기서 시작하자 너무 아픈거 같아 하나 둘 셋 지금 멈춰 멈춰 멈춰 멈춰야돼	0	0	0	0	0	0	0	0	stt
뭣도 모르고 방금 도착해	0	0	0	0	0	0	0	0	stt
웹툰 만화판 미술 예술 예체능 전부다 홍어 518	0	0	0	0	0	0	0	0	unsmile
조팔 짜장좆392 지구가 좆같음을 다시 알려줘서 고맙다익이야 보토피아만 살길이노	0	0	0	0	0	0	0	0	unsmile
7초 남았다	0	0	0	0	0	0	0	0	stt
물에 물에 너무 많이 빠져가지고 기력이 없어 내가 [유저] 게임을 이해해버렸거든	0	0	0	0	0	0	0	0	stt
[유저]이자 통과 갑니다	0	0	0	0	0	0	0	0	stt
위에 가방이 있어서 로프가 있으면 내려주려고 했는데 아이템이 없었어요 아예	0	0	0	0	0	0	0	0	stt
아 이것이 후추인 것이	0	1	0	0	0	0	0	0	stt
빨갱이들을 3만명이나 받았네 빨간나라냐	0	0	0	0	0	0	0	0	unsmile
냄져만 하향평준화가 이루어진 2017년의 머국	0	0	0	0	0	0	0	0	unsmile
정박을 하려면	0	0	0	0	0	0	0	0	stt
작년 망사녀 또 안나왔냐	0	0	0	0	0	0	0	0	unsmile
우리나에도 소거시기로 방망이로 만들어서 썼는데 아주 찰지다는 사용기가 있음	0	0	1	0	0	0	0	0	unsmile
차별금지법은 동성 성욕자에 대한 합리적인 비판이나 반대까지 입막음 하려는 악한 법인데요 당연히 반대합니다	0	0	0	0	0	0	0	0	unsmile
야야 야야 하나 둘 하나 둘 하나 둘 하나 둘 하나 둘 하나 둘 아	0	0	0	0	0	0	0	0	stt
근데 왜 엄한 레슬링 사진이노	0	0	0	0	0	0	0	0	unsmile
2칸밖에 안 됐는데	0	0	0	0	0	0	0	0	stt
3일차 [유저] 구워	0	0	0	0	0	0	0	0	stt
근데 이거	0	0	0	0	0	0	0	0	stt
S요	0	0	0	0	0	0	0	0	stt
박시장님 스스로 결단을 내리세요 이거네 뭐그리 말이 많은지	0	0	0	0	0	0	0	0	unsmile
내가 초록색이야 어쩐지 잘하더라	0	0	0	0	0	0	0	0	stt
낙타가 기침한지 2년이 다된것같은데 인증하나 없노 오	1	0	0	0	0	0	0	0	unsmile
이거 밀면 안돼	0	1	0	0	0	0	0	0	stt
누가 여기서 말을	0	0	0	0	0	0	0	0	stt
이쪽 좆나 심하노 당장 이쪽커뮤들어가 보면 부치 팸 앵나 나누고 개빻았음 물론 괘미들도 많고 남혐하는보지들도 많은 쀼젤 한남들이 레즈의 계략이라고 하는거보면 기가찬다이기야 자지 365갈래로 찢고싶노	0	0	0	0	0	0	0	0	unsmile
진지하게여성의존재가치가뭐냐성욕구해결과출산아니냐지몸을 화장하고 꾸미는거 자체가 자기 자신의 성적매력을높일려고하는거지	0	1	0	1	0	0	0	0	unsmile
으 생각하는거 좆나 한남같노	0	1	0	0	1	0	0	0	unsmile
우츠를 왜 안 눌러냐	0	0	0	0	0	0	0	1	stt
이슬람이 클리토리스도 자름	0	1	0	0	0	0	0	0	unsmile
나 여기야	0	0	1	0	0	0	0	0	stt
전라도는 진짜 다르구나	0	1	0	0	0	0	0	0	unsmile
코란 불태운 워마드는 조만간 is에 처형당할듯	1	0	0	0	0	0	0	0	unsmile
점프해야 되는 거 느낌 왔지	0	0	0	0	0	0	0	1	stt
허어	0	0	0	0	1	0	0	0	stt
우리가 못가 한명이 그래서 아 아래로 데리고 왔어야 됐네	0	0	0	0	0	0	0	1	stt
가운데 오시고 자 그다음 핑크색 가세요	0	0	0	0	0	0	0	1	stt
웃길려고 한거가튼데	0	0	0	0	0	0	1	0	unsmile
파스테이지 해야겠지	0	0	1	0	0	0	0	0	stt
아아 아아 오오오 아 아 아 아 아 방패병이 앞을 8번 8번 방패병 나다 나다 8번 8번 빗겨 빗겨 앞방패 오케이 오케이 앞방패 다가 다가 다가 오케이 윗방패 윗방패 윗방패 두둘로 쌓아서 위로가야지 쌓아야지 쌓아야지	0	1	0	0	0	0	0	0	stt
