문장	사전라벨	abuse_prob	검수	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean
지금 또 맨 위에 하고 싶어가지고 그냥 주인공병 걸러가지고 누구야	abuse	0.769		0	0	0	0	0	0	0	0	1	0
아 나 진짜 미친 아저씨야	abuse	0.755		0	0	0	0	0	0	0	0	1	0
3단계 애개 스키 어우 야 움직이지 마라 잠깐만 자	abuse	0.721		0	0	0	0	0	0	0	0	1	0
그렇지 짜자자자자자자 오케이 여기 계단이죠	abuse	0.666		0	0	0	0	0	0	0	0	1	0
자 내려오세요	abuse	0.633		0	0	0	0	0	0	0	0	1	0
그렇지 올라가 올라가 그렇지 밟아 계속 밟아 계속 밟아줘야 돼	abuse	0.62		0	0	0	0	0	0	0	0	1	0
가만있어 가만있어	abuse	0.587		0	0	0	0	0	0	0	0	1	0
지렸다 지렸다 아 나이스 나이스 아니 레게는 진짜 말 두껍게 안 들어	abuse	0.569		0	0	0	0	0	0	0	0	1	0
그렇지 그 다음 그렇지 그 다음 가 가 예 그 다음 가 빡 자 그렇 자 오케이 요씨 끌어올려줘	abuse	0.539		0	0	0	0	0	0	0	0	1	0
제발 아 이거 답답해 죽겠네	abuse	0.539		0	0	0	0	0	0	0	0	1	0
또 또 또 이거 뭐야	abuse	0.529		0	0	0	0	0	0	0	0	1	0
너는 계속 밟아주고 있어야 돼 오케이 오 뭐지	abuse	0.486		0	0	0	0	0	0	0	0	1	0
가만있어 아무것도 하지마 그냥 바로 가자 바로 가자 바로 가자 그렇지	abuse	0.481		0	0	0	0	0	0	0	0	1	0
중앙색 내려가	abuse	0.448		0	0	0	0	0	0	0	0	1	0
아오	abuse	0.436		0	0	0	0	0	0	0	0	1	0
출발 출발 한 명만 밀어주고 자 이거는 이제 한 명씩 밟아야 돼	abuse	0.412		0	0	0	0	0	0	0	0	1	0
그렇지 그렇지 그렇지 이렇게 하고 제가 여기 올라가서 자 밀어 이제 밀어 하나씩 쪼금씩 야아 다시 들어와 다시 뒤로 와	abuse	0.389		0	0	0	0	0	0	0	0	1	0
하나 둘 여시 자 올려 으아 올려 으아 올려 올려 올려 그렇지	abuse	0.386		0	0	0	0	0	0	0	0	1	0
네 윤누님 밀어드리고 자 그만 밀어 너무 많이 밀지마	abuse	0.385		0	0	0	0	0	0	0	0	1	0
살려줘 살려줘 끝까지 끝까지 끝까지 아 끝까지 끝까지 오케이 아니 나와 나와 빨리 나오세요	abuse	0.385		0	0	0	0	0	0	0	0	1	0
자 올라가 먹어	abuse	0.385		0	0	0	0	0	0	0	0	1	0
가만있어 올라가	abuse	0.366		0	0	0	0	0	0	0	0	1	0
어 에에 레쓰 엘레스키 1단계 어 됐다 아아아아 내머리 밟지 마셈 먼저 가 먼저 가 다같이 가자 다같이 가자	abuse	0.365		0	0	0	0	0	0	0	0	1	0
다 이제 내려와 자 지나갈게요 지나갈게요	abuse	0.364		0	0	0	0	0	0	0	0	1	0
가만있어	abuse	0.339		0	0	0	0	0	0	0	0	1	0
7초 얘들아 할 수 있어 먹어 먹어 내려와 자 야 저것도 가져와 오케이 이제 알았다	abuse	0.338		0	0	0	0	0	0	0	0	1	0
그렇지 그렇지 가만히 있어줘 가만히 있으면 그게 바로 신호 아니겠어	clean	0.294		0	0	0	0	0	0	0	0	0	1
다 밟고 밟으면 초가 늘어나니까 다 밟고 찾아가야 돼	clean	0.271		0	0	0	0	0	0	0	0	0	1
어 그렇지 걔가 가 너가 가 너가 가 아 내가 갈게 비켜 비켜 가만히 있어 그렇지 그렇지 그렇지 빨리 들어와	clean	0.265		0	0	0	0	0	0	0	0	0	1
자 이제 비켜줘 비켜줘 비켜줘 보라색 비켜 파란색 비켜	clean	0.248		0	0	0	0	0	0	0	0	0	1
자 비켜주세요	clean	0.244		0	0	0	0	0	0	0	0	0	1
같이 오케이 오케이 오케이 잠깐만 들어가지 마봐 들어가지 마봐 가자 가자 가자 잠깐 멈춰봐봐	clean	0.242		0	0	0	0	0	0	0	0	0	1
자 마지막 노란색 까지 올라가고 이제 빨간색만 움직이면 돼	clean	0.242		0	0	0	0	0	0	0	0	0	1
자 그다음에 영호 내려가 자 그다음에 김치 내려가 그다음에 김우자 내려가 그다음에 올라가요	clean	0.237		0	0	0	0	0	0	0	0	0	1
열어 열어라 참깨 들어가 잠깐만 우리 갇혔다	clean	0.234		0	0	0	0	0	0	0	0	0	1
이제 죽으면 안 돼	clean	0.234		0	0	0	0	0	0	0	0	0	1
빨리 들어와 자 3학년 2반 자 일단 뭐야	clean	0.231		0	0	0	0	0	0	0	0	0	1
자 비켜주세요 비키세요	clean	0.228		0	0	0	0	0	0	0	0	0	1
그렇지 가만히 있어 밀어 앞으로 밀어 다 밀어	clean	0.223		0	0	0	0	0	0	0	0	0	1
자 다음 아 이거 끌어주자 올려 다시 올려 올려 자 앞에 출발 앞에서 점프해서 넘어가자 그렇지 해주고 그 다음 점프 그 다음 점프 하세요	clean	0.223		0	0	0	0	0	0	0	0	0	1
자 여러분들 지금 4방이잖아요	clean	0.21		0	0	0	0	0	0	0	0	0	1
발꼬임 발꼬임	clean	0.209		0	0	0	0	0	0	0	0	0	1
뭐 고무중놀이하는거야	clean	0.207		0	0	0	0	0	0	0	0	0	1
자 출발 그 다음 출발 그렇지 빨간색 출발 그렇지	clean	0.205		0	0	0	0	0	0	0	0	0	1
밟으면 밟을수록 뭐가 늘어나네 올라가 올라가	clean	0.204		0	0	0	0	0	0	0	0	0	1
문 열어줘	clean	0.197		0	0	0	0	0	0	0	0	0	1
아 이거 계속 밟아주고 올라가야 되는데	clean	0.192		0	0	0	0	0	0	0	0	0	1
줄다리기	clean	0.181		0	0	0	0	0	0	0	0	0	1
들어와 들어와 들어와	clean	0.175		0	0	0	0	0	0	0	0	0	1
더 내려와봐요	clean	0.174		0	0	0	0	0	0	0	0	0	1
들어와 들어와	clean	0.171		0	0	0	0	0	0	0	0	0	1
자 다같이 따라하시면 돼요	clean	0.171		0	0	0	0	0	0	0	0	0	1
자 이번에는 줄이 없네요	clean	0.171		0	0	0	0	0	0	0	0	0	1
야아아아아아 아니 왜 뒤로 가	clean	0.168		0	0	0	0	0	0	0	0	0	1
들어와 문 열어	clean	0.166		0	0	0	0	0	0	0	0	0	1
일단 가보자 일단 가보자 와봐 와봐 오른쪽으로 와봐	clean	0.165		0	0	0	0	0	0	0	0	0	1
띠어야 돼 띠어야 돼	clean	0.159		0	0	0	0	0	0	0	0	0	1
왜 뒤로 가노	clean	0.159		0	0	0	0	0	0	0	0	0	1
자 앞에 계시는 빨간색부터 머리 밟으면 누군지 말씀해주시면 됩니다 누구시죠	clean	0.158		0	0	0	0	0	0	0	0	0	1
이거 자 이거 똑같네	clean	0.157		0	0	0	0	0	0	0	0	0	1
왼쪽으로 쭉 밀어 계속 밀어	clean	0.155		0	0	0	0	0	0	0	0	0	1
저거 먹어야돼 오케이 7초 7초 비켜 비켜야 돼 3초 2초 점프 비켜 비켜 오케이 먹어 먹어 아까보다 더 빨라 한숨 자고 와도 돼	clean	0.155		0	0	0	0	0	0	0	0	0	1
자 이제 마이크 키세요	clean	0.153		0	0	0	0	0	0	0	0	0	1
