,문장,원본_clean,원본_악플/욕설,보정_clean,보정_악플/욕설
8705,남혐 아니라고 딸바보아빠들아 정신차려,1,0,0,1
14216,려시에서 먼저 주작으로 웜 욕하니까 빡쳐서 패기시작한건데 ㅋㅋㅋㅋ,1,0,0,1
2317,그래서 남성 몰카범들 처벌 어떻게 했는데..? 제대로 찾지도 않았잖음 뭘 두고본다는거지,1,0,0,1
270,고민되는 정의 든든한 뒷빽이 삶은소대가리이라잖여 그러니 그나물에 그밥인데~개나 소나 미쳐나는 총선 제대로 찍어야 자유를 지킨다~,1,0,0,1
1554,씁쓸하다. 페미니 메갈이니 꼴보기싫어서 저렇게 행동했다는게 시원하다고 느끼는 지금 이런 감정자체가 씁쓸하다. 범죄를 보고도 신고를 안하는게 당연시 되다니...정신차려야되 여자든 남자든 상식적인 세상으로 돌아왔으면 좋겠다.,1,0,0,1
1939,내새끼 건드리면 개빡쳐서 불타오르는건 본능이지 잘참았다,1,0,0,1
4628,"주 예수보다 더 귀한것은 없네이 세상 부귀와 바꿀 수 없네영 죽을 내 대신, 돌아가신 그 놀라운 사랑 잊지 못해세상 즐거움 다 버리고세상 자랑 다 버렸네주 예수보다 귀한것은 없네 예수 밖에는 없네",1,0,0,1
12309,캬 거르다 거르다 못해 점심밥까지 걸러버리노?맨날 말로만 거른다하는 디시 일베는 본받아야한다,1,0,0,1
1174,나도 바이블은 찢어봤다 부산국제락페스티벌 데쓰메탈 밴드 Deicide공연중 팬중에 한분이 바이블 두쪽으로 찢어서 던지더라 그래서 주워들거 발기발기 찢어서 공중에 뿌렸지,1,0,0,1
9238,대응할수 있는데 참는척^^ 앞에선 찍소리도 못해놓고 쿨하고 아무렇지 않은 나인척^^,1,0,0,1
8728,중국 일본 한국 븍한 러시아가 합쳐서 전세계랑 맞짱뜨면 이기진 못해도 안밀릴듯 한국 주변정세 ㅆㅅㅌㅊ 유럽보다 무섭다,1,0,0,1
8345,일반인이 그랬으면 삼일한이니 뭐니 지랄했겠지?,1,0,0,1
11161,대부분 뭐 머리 만지는게 머 잘보이고 싶어서 그런다 이 지랄하지만 저렇게 겨드랑이 보일정도로 머리를 만지는게 진짜임저렇게 머리 만지면서 체스트업 해서 가슴 앞으로 내밀면서 표정도 바뀜,1,0,0,1
12315,지금 저지랄 했으면 영웅됐음,1,0,0,1
4123,그러니까 투표할때 제대로 하고 얘기해라~~~,1,0,0,1
10522,녹취한놈 준비 제대로 해갓네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0,0,1
6170,여자를 웅호하는건 아니지만 이런글들은 오히려 여혐만 생긴다..하다못해 요리학원같은곳이라도 다녀라 인연을 만들어아 그리고 연인으로 발전해라 집구석에쳐박지말고..,1,0,0,1
12568,아가야... 얼마나 아팠니... 얼마나 무서웠니... 부디 하늘에서는 네가 받아야 할 사랑 다 받고 웃음만 가득하렴. 강아지와도 놀아보고 친구들과 블럭쌓기도 하렴. 웃음을 멈추지 못해 볼이 아플 정도로 행복하렴...,1,0,0,1
14235,캄보디아 여성과 결혼못해한국남성,1,0,0,1
12065,ㅠㅠ 나 아다 시절일때 처음 사귀었던 여친이키스 한시간 하고 입에 부르텄었는데딱지 앉은거 가지고 뭐 이상한거 났다고 하면서 헤르페스냐고 성병이라고 성매매업소 다닌거 아니냐고 지랄해서와 진짜 개 빡쳤었는데. 암튼,1,0,0,1
10659,서울에 기독교 인구가 얼마나 많은데 저 지랄을 하냐 우리 차기 머통령님 총기를 많이 잃으셨다,1,0,0,1
11811,워렌버핏 말이 생각나네 주위에 출세한 사람들이 가족을 정작 챙기지 못해 불행한 말년을 보내는 이를 자기는 봐 왔다고,1,0,0,1
2089,주 예수보다 더 귀한 것은 없네 이 세상 명예와 바꿀 수 없네 이전에 즐기던 세상일도 주 사랑하는 맘 뺏지 못해세상 즐거움 다 버리고 세상 자랑 다 버렸네주 예수보다 더 귀한 것은 없네 예수밖에는 없네,1,0,0,1
7598,바람피는중인데 선물안줘서 삐져가지고 뺨떄리니까 남자가 빡쳐서 니킥꽂음,1,0,0,1
14388,답답하죠 이시국에 이곳저곳에서 집회들을 왜 하고 왜 승인을 내주는지....,1,0,0,1
309,현기 준중형급 중형급이네 딱봐도 저정도도 컨트롤이 안되는거보니 스팅어랑 지칠공 제외 솔직히 쉐보레 말리부도 저정도는 커버침,1,0,0,1
3514,섹1스를 못해봣는데 콘돔을 알 턱이있나,1,0,0,1
5564,저정도면 애기가 빡쳐서 젖 안빤다 하겠다,1,0,0,1
6847,"인기가 없고 재미가 없어서 안 쓰는 걸, 억지로 껴다 맞추는 게 성평등이 아니다. 차별과 구별의 의미를 제대로 구별 못하는 인간들이 널렸구만 아주...",1,0,0,1
3523,여군 몇명의 의견 가지고 마치 전체가 그런분위기인양 쓰느것이야말로 편파아닌가요? 여군전체에 제대로된 설문을 하고 나서 이렇다라고 쓰는게 옳은기사 아닌가요?,1,0,0,1
8131,퀴어로 사는 것까지 말리진 못해도 그걸 가지고 이래라 저래라 하지는 말자,1,0,0,1
325,찬수야 정신차려라,1,0,0,1
8133,그동안 2000년대에 핸드폰이 작았던건 여자에게 맞춰져있기 때문이었군요. 난 액정기술이 발달하지 못해서인줄 알았는데 그런 비밀이,1,0,0,1
8649,14년 4월군번인데 그떄랑 똑같네..; 그때는 파도타기하다가 교회중령님 빡치셔서 훈계들은거 생각난다.,1,0,0,1
11724,조센처럼 아가리 안털고 행동만 하는 나라 ㄷㄷ,1,0,0,1
2381,똥물먹고 자란 굴은 식중독 유발한다.몇달전에 나도 생굴먹다가 식중독 발생해서 설사는 안했는데구토증상이 심해서 몇일 밥도 제대로 못먹었다.그 무슨 균이라던데 이름이 ?,1,0,0,1
