sentence	abuse	hate	clean	blame	anger	frustration	praise	order
002가 제 대가리 밟았다고요	0	0	0	0	0	0	0	1
02 02 02 야 뺏어 와	0	0	0	0	0	0	0	1
083 반성하자 068도 있네	0	0	1	0	0	0	0	0
0초 클리어 그럼 밀리지 마	0	0	0	0	0	0	1	0
1 2 3 게이지 관리 오케이 게이지를 누가 너무 많이 관리하네	0	0	0	0	0	0	1	0
1 2 3 누나 이거 한 5번 연속 10회 하면 넘기죠	0	0	1	0	0	0	0	0
1 2 3 실망하지마	0	0	1	0	0	0	0	0
1 2 3 아 아깝다	0	0	0	0	0	1	0	0
1 넣고 나한테 야친년을 박아	0	0	1	0	0	0	0	0
100 있다고	0	0	1	0	0	0	0	0
10대 먹었어	0	0	1	0	0	0	0	0
10번 해야겠다 안 닿았어	0	0	0	0	0	0	0	1
10번지 맞	0	0	1	0	0	0	0	0
10번지 맞출	0	0	1	0	0	0	0	0
10번지 맞출게요	0	0	1	0	0	0	0	0
10분 안에 클리어 했다 쳐	0	0	0	0	0	0	1	0
10분은 안 채웠다	0	0	1	0	0	0	0	0
10줄 터뜨리기 이거 한 줄을 어떻게 만들어	0	0	0	0	0	1	0	0
10줄 하면 되나보네	0	0	1	0	0	0	0	0
10줄이다 10줄	0	0	1	0	0	0	0	0
10차장까지는 깔 뭐야	0	0	0	0	1	0	0	0
11 클리어 11 클리어 진짜 싫다 방금 막판 그 뭐지	0	0	0	0	0	0	1	0
123 8번 안가져 앞으로 안가져	0	0	0	0	0	0	0	1
12까지 믿어도 돼	0	0	1	0	0	0	0	0
12라운드요 12	0	0	1	0	0	0	0	0
12번이 문제에요	0	0	1	0	0	0	0	0
13살이랑 3배 차이야	0	0	1	0	0	0	0	0
14입니다	0	0	1	0	0	0	0	0
15번 그거 해야 된다	0	0	0	0	0	0	0	1
15살 안녕하세요	0	0	0	0	0	0	0	1
16번이죠	0	0	1	0	0	0	0	0
178 달려요	0	0	1	0	0	0	0	0
17개 남은거야	0	0	1	0	0	0	0	0
18에 뭐 27점 아니야	0	0	1	0	0	0	0	0
19만 그냥	0	0	1	0	0	0	0	0
1년 전에 아 뭐해	0	0	0	1	0	0	0	0
1대 11 됐다 형 [유저] 보드 영웅 승리라고 돼있네	0	0	1	0	0	0	0	0
1대1 사람을 넣으려고 [유저] 님 뭐야	0	0	0	0	1	0	0	0
1대22 자 이거 같은 그림 찾는 거죠	0	0	1	0	0	0	0	0
1등 그렇지	0	0	0	0	0	0	1	0
1등 한 사람 제가 치킨 사드리겠습니다	0	0	0	0	0	0	0	1
1등 할만하네	0	0	1	0	0	0	0	0
1등 해라	0	0	0	0	0	0	0	1
1등 해라 불안해서 안 갔는데 잘하는데	0	0	0	0	0	0	0	1
1등 해야 돼	0	0	0	0	0	0	0	1
1등까지 6등 해놓고	0	0	0	0	0	0	0	1
1등에 하네	0	0	1	0	0	0	0	0
1등으로 들어가야	0	0	0	0	0	0	0	1
1라운드 늘려서 개새끼야	1	0	0	0	0	0	0	0
1번 2번 나 나쁘지 않아	0	0	1	0	0	0	0	0
1번 2번이 보고 있어 1번 2번이 보고 있으니까 작업 치면 돼	0	0	1	0	0	0	0	0
1번 3번 미쳤다 미쳤잖아	1	0	0	0	0	0	0	0
1번 6번이 뭐야	0	0	0	0	1	0	0	0
1번 [유저] 님 2번 2번 [유저] 박 3번 승우아빠 4번 누구에요	0	0	1	0	0	0	0	0
1번 가라고 멈춰 멈춰 멈추고 가 이제 아 내가 가라고	0	0	0	0	0	0	0	1
