문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean	개인지칭
일안하는 시간은 쉬고싶어서 그런게 아닐까	0	0	0	0	0	0	0	0	0	1	0
고향가서 피방가면 동네 부럴 친구들이랑은 뭐 거르는 거 없이 이야기하니까 막 말하게 되더라 당연히 키보드를 치거나 그러지는 않는데 말하는게 많이 거칠어지긴 해 반성해야겠네	0	0	0	0	0	0	0	0	0	1	0
예수 십새끼 개새끼 창녀아들 애비실종 가정교육 못받은 무뇌충 허언증 정신병자 사기꾼 망상 근본없는 병신 장애인 짱개 흑인 이슬람 전라도랑 동급	0	0	0	1	0	1	1	1	0	0	0
나이쳐먹고 피시방가는 놈들은 대가리에 똥만찬 놈들임	0	0	0	0	0	0	0	0	1	0	0
이슬람뺨치내	0	0	0	1	0	0	1	0	0	0	0
AICPA 따고 넘어갔나보네	0	0	0	0	0	0	0	0	0	1	0
협박스킬은 패시브랑께	0	0	0	0	0	0	0	0	0	1	0
띄울사람이 진짜 없긴 없나보다	0	0	0	0	0	0	0	0	1	0	0
CNN 구구절절 팩트	0	0	0	0	0	0	0	0	0	1	0
쑈 빼고 아무것도 없는 개돼지 정권이노 탄핵 개힘조	0	0	0	0	0	0	0	0	1	0	0
이슬람이고 뭐고 그냥 종교충들은 다 죽었으면 좋겠어	0	0	0	0	0	0	1	0	0	0	0
뭐하냐 기업이네 기업이여 기업에 돈갖다 받치는 어이없는 시키들도 문제다	0	0	0	0	0	0	0	0	1	0	0
교회다녀봤는데 교인들은 보여지는것에 집중하고 그들이 말하는 속세의 사람들보다 가식적임 그리고 굉장히 이분법적사고를 갖고있어서 아마 이런상황에서 예배를 드린다는거에 우선순위를 지켰다고 자뻑하고있을거임 개뿔 하나님은 그런 이기적이고 천박한 신앙을 원치 않으실 거다 개독들아	0	0	0	0	0	0	1	0	0	0	0
사망이후 조사받기 전까지 이 분 통화내역 확인 필요	0	0	0	0	0	0	0	0	0	1	0
이새끼 전라도	0	0	0	0	0	1	0	0	0	0	0
도대체 이정권에서 무고한목숨이 얼마나죽는가	0	0	0	0	0	0	0	0	1	0	0
진짜 전라도 존나 싫다	0	0	0	0	0	1	0	0	0	0	0
돈고는 질병이다 이기야	0	0	1	0	0	0	0	0	0	0	0
