문장	여성/가족	남성	성소수자	인종/국적	연령	지역	종교	기타 혐오	악플/욕설	clean
파란불 빨간 불이네 신호등 신호등 아 신호등 깜빡깜빡 하면 멈춰야 된다 스톱스톱스톱 오케이	0	0	0	0	0	0	0	0	0	1
여기가 돌아가기 아파 내려가 봐 옆으로 살짝	0	0	0	0	0	0	0	0	0	1
아 진짜 못해	0	0	0	0	0	0	0	0	1	0
아니 이거 아야 스톱 스톱 스톱 아 무빙으로 한 번 빼 스톱 스톱 스톱 코드라 킬을 발랐어	0	0	0	0	0	0	0	0	0	1
그냥 가만히 있어라 좀 제발 내가 다 해줄게 기다려 아니 아까 내가 온 것처럼 오면 되잖아	0	0	0	0	0	0	0	0	0	1
진짜 피지컬 레전드 아니 이것이 이렇게 세우고 야 이거 전략당했어 계획살인이야 계획살인이야	0	0	0	0	0	0	0	0	0	1
아니면 그 앞에서 멈추던가 빨리 잠깐만 지금부터 죽으면 저 꿈틀이 다 모여서 한번에 가야돼	0	0	0	0	0	0	0	0	0	1
난 게임 잘해 문열고 들어가 여기서 죽는데 진짜 인정 와아아아아아아아아아 어 야 잘못했어	0	0	0	0	0	0	0	0	0	1
제발 제발 제발 버텨 버텨 버텨 한 명 버텨 한 명 뚝심 잡고 버텨 제발 미친 제발 됐어	0	0	0	0	0	0	0	0	1	0
그냥 아니야 그쪽으로 말고 오른쪽으로 자기들끼리 지금 쓰고 서버 하면 돼 오른쪽으로 하죠	0	0	0	0	0	0	0	0	0	1
[유저] 랑 나나 여기도 아 팍팍 쏴 [유저] [유저] 아유 아니 나한테 못 치면 어떡해	0	0	0	0	0	0	0	0	0	1
아니 바싹 붙지않아 바싹 붙지 말라니까 1번님 새치기 한 번씩 아니 이거 아니 들어보세요	0	0	0	0	0	0	0	0	0	1
아니 형 꼭대기에 있으면 조금 더 올라가 조금 아주 조금	0	0	0	0	0	0	0	0	0	1
아이씨 야 빨리빨리 빨리 여기 올라가 올라가 오른쪽이 여기 한명 나가 올라가 한명 나가	0	0	0	0	0	0	0	0	0	1
아이고 아니 할배 아아 아 이거 치매 이슈 아 오케이 치매 이슈 오케이 오케이 이슈잖아	0	0	0	0	0	0	0	0	0	1
줄에 [유저] 는 안 들어왔다 달걀이 3개 코코넛 2개 파인애플 1개 대왕이 못 죽냐	0	0	0	0	0	0	0	0	0	1
아니 저기 온라인 그렇지 아니 나 진짜 방송 안 하고 혼자 게임 했으면 모니터 부셨어	0	0	0	0	0	0	0	0	0	1
두줄 두줄 앞에서부터 두줄씩 아 근데 이것이 다른 사람은 못 밀어가지고 한줄로 가야돼	0	0	0	0	0	0	0	0	0	1
아니 그니까 일렬로 있으면 이것이 다시 올라가면서 밑에 있는 사람도 들어갈 수 있잖아	0	0	0	0	0	0	0	0	0	1
멈춰 내가 애벌레 뚫고 갈터니까 자신있는 사람은 아래에서 애벌레 위에 타고 있으면 됨	0	0	0	0	0	0	0	0	0	1
자연상 말없네 에이 아 진짜 아 진짜 아 진짜 아 진짜 아니 이것이 딱 ADM 왜이래	0	0	0	0	0	0	0	0	0	1
내가 점프를 못해 적당히 웃어줘 뚱땅 뚱땅 아 잠깐만 아 진짜 웃는소리 아 그만 웃어	0	0	0	0	0	0	0	0	0	1
일로와서 올려달라고 그래 이 [유저] 멍청아 넌 다시 그걸로 꺼져 대가리 빡아 새끼야	0	0	0	0	0	0	0	0	1	0
오케이 저 새끼 알면서 그랬어 내가 봤을 때 아니 캐릭터 봤는데 어 그만 가 어 가	0	0	0	0	0	0	0	0	1	0
아니아니아니 저 이렇게 막 그렇게 만들었을리가 없어 야야야 왼쪽으로 가 왼쪽으로 가	0	0	0	0	0	0	0	0	0	1
야 셋이서 하면은 그냥 땡기지 않고 그냥 끌고 가도 올라와지네 방금 나잇값을 못했다	0	0	0	0	0	0	0	0	0	1
우리 개빡수 개빡수 아 개빡수 내가 먼저 빨리 점프해 점프 빨리 맵이 아직 안 왔어	0	0	0	0	0	0	0	0	0	1
나와 가라고 가라고 아니 여기다가 쌓으라고 여기다가 여기여기여기 아니 너는 왜 안와	0	0	0	0	0	0	0	0	0	1
아 근데 나는 오늘 [유저] 에서 [유저]오빡을 로켓 운전하는것이 진짜 레전드였어	0	0	0	0	0	0	0	0	0	1
아니 점프 점프 뛸 때 맞춰서 점프 뛰어주라고 점프 뛸 때 위에서 점프 뛰어야 돼	0	0	0	0	0	0	0	0	0	1
원래 나부터 혼자한거인데 나 혼자 미쳐가지고 졸베걸려서 아니 이사람 어디갔어 님들	0	0	0	0	0	0	0	0	0	1
그걸 내가 왜 미친놈아 나 궁금한데 참아 들어가 내가 테스트 해볼게 빨리 들어가	0	0	0	0	0	0	0	0	1	0
아니 여러분도 [유저] 나와봐 8번 좀 줄인다 8번 좀 살을 뺄 필요성이 있어요	0	0	0	0	0	0	0	0	0	1
잠깐 잠깐 잠깐 야 이거 못 먹어라 너 이거 못 먹어라 저거 이거 하다 끝나겠네	0	0	0	0	0	0	0	0	0	1
아니 3번이 봐주고 8번 오셈 어 3번이 봐주면 돼 3번이 마지막에 들어오면 돼	0	0	0	0	0	0	0	0	0	1
먹어 먹어 [유저] 야 아니 조정이 안돼 조정이 안돼 저 바다로 야 존다고했다	0	0	0	0	0	0	0	0	0	1
지나가 지나가 지나가 비켜 비켜 아 이거 아 이거 내 위에 점프할라고하는데 왜	0	0	0	0	0	0	0	0	0	1
이거 밟고 그렇지 얘 살려 야 이거 이건 거 같은데 아 초록색 제발 아 괜찮아	0	0	0	0	0	0	0	0	0	1
세트 [유저] 아 [유저] 가다 피스톤이 아니라 생각보다 우리 많이 올라왔는데	0	0	0	0	0	0	0	0	0	1
군대 얘기하자마자 그냥 반응 차가운 거 보소 아니면 여기서 아 이거 괜찮으려나	0	0	0	0	0	0	0	0	0	1
다리 아니 다리 춤추고 있는 것이 아니라 저거 당기고 있는 것이 맞는 것 같아	0	0	0	0	0	0	0	0	0	1
너 누가 나 밀었네 파이팅 이거 누나가 누나가 내가 내가 내가 뭐하냐고 됐다	0	0	0	0	0	0	0	0	0	1
아니 [유저] 형이 좀 빙글빙글 하다 아니 일반은 왜 뒤로 가는데 아 아깝네	0	0	0	0	0	0	0	0	0	1
아니면 그냥 그 별을 아래로 올라가 봐 일단 아래에 왔다 갔다 해줘야 뛰어줘	0	0	0	0	0	0	0	0	0	1
왜 자꾸 거기다가 애기 넘어가 애기 넘어가 그렇지 그렇지 아니 애기야 너도니	0	0	0	0	0	0	0	0	0	1
아 내가 나도 갈게 나도 갈게 아 유령을 왼쪽으로 다시 돌려야 되는거 아니야	0	0	0	0	0	0	0	0	0	1
하나 하나 하나 호호 호 하나 둘 셋 자 위에 [유저] 님이 아니 내가 할게	0	0	0	0	0	0	0	0	0	1
이거 서열 손으로 잘 못 뛰는 사람이 맨 위층에 있어야 된다고 왜 나라고했지	0	0	0	0	0	0	0	0	0	1
열쇠패스 전달하지말고 아니 나 못나가 들어가 들어가 좋아좋아 네 물 마셔야돼	0	0	0	0	0	0	0	0	0	1
아니 근데 우리 우리 굳이 위로 올라갈 이유가 있을까 전부 다 아래로 가보자	0	0	0	0	0	0	0	0	0	1
이거 오른쪽으로 해서 약간 저거 같이 같이 쌓을 수 있게 해야되는거 아니야	0	0	0	0	0	0	0	0	0	1
내가 너 죽여버리게 안 밀려 아니 안 밀리는 게임인데 밀린다고 자꾸 그러네	0	0	0	0	0	0	0	0	1	0
밟으면 점프가 안되니까 침착하는것이 중요해 침착 자 이제 아 짬뽕들 못해요	0	0	0	0	0	0	0	0	0	1
번개 해적 그리고 구름까지 근데 우리가 선장을 믿지 못하면 내릴 수 있어요	0	0	0	0	0	0	0	0	0	1
저쪽아 말을 하고 뛰어야지 이쯤을 그릴 때가 아니 저쪽아 너 뭐 하는 거야	0	0	0	0	0	0	0	0	0	1
이거 [유저] 가 가능하거든 난 딱 여기 이거 위치만 아니 위치만 보면 돼	0	0	0	0	0	0	0	0	0	1
야야 싸우지 마 강아지랑 애기 흐흐흐흐 야 어어 가족끼리 그러는 거 아니야	0	0	0	0	0	0	0	0	0	1
오죽 오죽이야 거품 거품 거품으로 아니 똥 똥 아 이건 뻔해 빨간색 아 씨	0	0	0	0	0	0	0	0	0	1
야 놔라 일단 놔 놔 놔 아야 아야 아니 아니요 아니 타이밍이 맞지 않았어	0	0	0	0	0	0	0	0	0	1
떡도 안 먹는다고 아니 근데 나 진짜 궁금한 것이 왜 자꾸 뒷모델들만 죽어	0	0	0	0	0	0	0	0	0	1
나 올라갔다 올라와 [유저] 누나가 쟤네들 죽일것이 기다려봐 폭탄 터트릴게	0	0	0	0	0	0	0	0	1	0
일단 올라가 뭐야 아니 잠깐만 [유저] 야 살려준다 아까 우리의 정이 있지	0	0	0	0	0	0	0	0	0	1
서로 못 믿기 때문에 서로 못 믿으니까 그냥 헷갈리니까 나부터 한번 해볼게	0	0	0	0	0	0	0	0	0	1
나는 쫄보라서 이 정도면 돼 인간이 이렇게 아니 존 믿어봐 가 형은 내리고	0	0	0	0	0	0	0	0	0	1
아니 이거는 진짜 억가야 순서를 지켜 내가 먼저 지나가는 사람이었는데 인정	0	0	0	0	0	0	0	0	0	1
아니 잠깐만 W왕 아니 자꾸 지금 누가 지금을 왜 브리핑을 왜 하는 거예요	0	0	0	0	0	0	0	0	0	1
내가 너 패고 솔직히 내가 기습으로 때린 건 맞지만 이 새끼가 못 피했다	0	0	0	0	0	0	0	0	1	0
오른쪽으로 버튼만 누르면 되는데 그걸 가지를 못해서 양만들어 제발 암마자	0	0	0	0	0	0	0	0	0	1
그냥 해봐 그냥 해봐 잠깐만 이거 잠깐만 이거 아니 어 선행 아니 괜찮아	0	0	0	0	0	0	0	0	0	1
거기 서야지 거기가 아니라 여기 서야지 찍어줘 [유저] 님이 계속 찍어줘	0	0	0	0	0	0	0	0	0	1
아니야 아니야 아니야 잠깐만 먼저 가셈 와아 아아 빠딱빠딱 이것이 어렵나	0	0	0	0	0	0	0	0	0	1
안 들어가지지않아 이거 계단 쏴야 계단 쏴야 이거 어차피 버리는거 아니야	0	0	0	0	0	0	0	0	0	1
아 진짜 아 진짜 아 미안 아 미안 이거는 야 피 회복 되는 거 아니었어	0	0	0	0	0	0	0	0	0	1
왜냐면 그때 퍼서 흙을 하는 것이 아니고 나와서 이렇게 아니 돌은 이렇게	0	0	0	0	0	0	0	0	0	1
이거 내려서 통나무 오지 통나무 쌓여 여기 지나가버려 쌓여 오케이 이야	0	0	0	0	0	0	0	0	0	1
아니 누나 오른쪽으로 가면 왼쪽으로 가면 독에 중독돼 오른쪽에 있어야돼	0	0	0	0	0	0	0	0	0	1
이번판 우리 너무 빨리 끝났는데 나 뭐 재미도 못 느꼈는데 맛도 못봤어	0	0	0	0	0	0	0	0	0	1
어휴 잘했다만 아니 저희는 이 정도 그냥 기본으로 해요 그래 그래 그냥	0	0	0	0	0	0	0	0	0	1
부스 문 여는 순간 나갈듯 뭐가 전시료도 깜빡거리는데 아 움직이면 안돼	0	0	0	0	0	0	0	0	0	1
아니 그 그 아니 그렇지 내 조카가 너보다 잘했다 올려줄게 가 올려줄게	0	0	0	0	0	0	0	0	0	1
어이가 없어 출발 아 저 새끼 너희들 이제 [유저] ᆯ할 타이밍 끝났장	0	0	0	0	0	0	0	0	1	0
오른쪽봐 으아아아아아악 지나가 지나가 지나가 내가 볼것이 무서워 무서워	0	0	0	0	0	0	0	0	0	1
또 큰 똥을 싸주길 바래	0	0	0	0	0	0	0	0	1	0
아니 아니 방법이 여기는 없는 것 같으니까 딴 데로 가야 될 것 같아요	0	0	0	0	0	0	0	0	0	1
아니 적는 사람이 있어서 기다려 기다려 침착해 침착해 기다려 재촉하지마	0	0	0	0	0	0	0	0	0	1
나이소 나이소 이렇게 쉬운걸 더 넘겨지는거 개빡스럽네 열쇠 얹어줬잖아	0	0	0	0	0	0	0	0	0	1
굿 [유저] 쓰리 두 원 제발 야 초록아 제발 제발 잡아 잡아 잡았냐	0	0	0	0	0	0	0	0	0	1
그렇지 그렇지 가만히 있어줘 가만히 있으면 그것이 바로 신호 아니겠어	0	0	0	0	0	0	0	0	0	1
한국인들을 꼽히는 게임 이런 게임은 한국인은 못 깨는 게임이라고 해요	0	0	0	0	0	0	0	0	1	0
점프를 내가 보기에는 개빡센데 이거 내가 보기엔 점프는 일곱명인가 봐	0	0	0	0	0	0	0	0	0	1
아니야 방금 내 앞에서 하나가 터졌는데 살아있어 오케이 다 깨는거인가	0	0	0	0	0	0	0	0	0	1
예 아니야 처음에 감 잡아야 되니까 처음에 감 잡아야 되니까 아 맞아	0	0	0	0	0	0	0	0	0	1
살짝 떨어져서 점프 살짝 떨어져서 점프 아 제발 아 호호호호호 살았다	0	0	0	0	0	0	0	0	0	1
스토리얼도 안하고 와서 그래 다시 새로운 삶을 살자 이번 생은 망했어	0	0	0	0	0	0	0	0	1	0
나 보고있을것이 아니 내가 한번 죽으면 왜 이렇게 죽을듯이 달려들어	0	0	0	0	0	0	0	0	0	1
아니 니네들 한 번만 해줘 내려와 차로도 죽는다	0	0	0	0	0	0	0	0	0	1
아니 이걸 왜 진짜 발견하지 못해서 저희의 세계선을 낭비하신 거예요	0	0	0	0	0	0	0	0	1	0
아니 여러분들 얘 저격이 많으니까 지금 내 플레이가 안 나오는 거지	0	0	0	0	0	0	0	0	0	1
진짜로 진짜로 아니 아니 저 아니 그 진짜 딱 여기 위치가 입구거든	0	0	0	0	0	0	0	0	0	1
숨어 숨어 숨어 아래로 가버리기 아 이 미친새끼 이거 위로 가버리기	0	0	0	0	0	0	0	0	1	0
진짜 아들아 개잘하네 신나 나 목이 아파서 이제 말을 못할 것 같아	0	0	0	0	0	0	0	0	0	1
아니 위에가 떨어져 맨 위에부터 그냥 줄 정리해 오케이 오케이 됐어	0	0	0	0	0	0	0	0	0	1
A랑 D가 아니 진짜 아니 진짜 아이씨 에이씨 내가 죽었으면 좋겠어	0	0	0	0	0	0	0	0	1	0
진짜 못 올라갔을 거 같을 때 저기 피스톤 그거 쓰면 될 거 같아요	0	0	0	0	0	0	0	0	0	1
역시 힘이 쎄 우리 영환이 힘이 쎄 점프해서 밀리는것이 말이 아니야	0	0	0	0	0	0	0	0	0	1
담당자 정의해 어떤 새끼가 죽어줄까	0	0	0	0	0	0	0	0	1	0
아니 왜 자꾸 아니 이렇게 이렇게 가면 된다니까 이렇게 가는 거잖아	0	0	0	0	0	0	0	0	0	1
아니 저거랑 고릴라 분말이 들어가있어 아아아아아아 야 죽여 다 죽여	0	0	0	0	0	0	0	0	1	0
내려가는 거인데 아 이거 한 번에 들어가도 되는데 도파리들이 미친데	0	0	0	0	0	0	0	0	1	0
이거 [유저] 1라운드 깨자마자 모든 맵 다 뚫어준 [유저] 잘못임	0	0	0	0	0	0	0	0	1	0
누가 우리 못 이겨도 빨간색은 빨간색 죽여야 돼 빨간색 죽여야 돼	0	0	0	0	0	0	0	0	1	0
아니 왜 밀어 멍청 멍청 멍청아 나 따라와	0	0	0	0	0	0	0	0	1	0
아니야 아니야 이거 가운데 칸에 있으면 딱 열쇠만 걸쳐지지 않을까	0	0	0	0	0	0	0	0	0	1
회색 그냥 땅으로 냅다 갈겨버리네 쇠사슬 없었으면 아예 못 왔겠네	0	0	0	0	0	0	0	0	0	1
아니 미친 아 제발 미친 사람들아 끌어댕겨 끌어댕기가 있네 좋네요	0	0	0	0	0	0	0	0	1	0
아니 내 맨 위에 올라갈 수 있다니까 형 제가 한 번 들어보실래요	0	0	0	0	0	0	0	0	0	1
내가 못 움직이게 누가 나를 왜 안 움직여져 하늘 치는 거 아니야	0	0	0	0	0	0	0	0	0	1
어어 왜 못해 써서 왜요 아 뭐 만지 마 아이도 아이가 둘러야 돼	0	0	0	0	0	0	0	0	0	1
폭탄 도망가 마크단 마크단 와우 으아아아아아 야 미친 드롭키 뭐야	0	0	0	0	0	0	0	0	1	0
실수 아니였는데 방금 아니 아닌데 방금 봤는데 내가 아 실수했어요	0	0	0	0	0	0	0	0	0	1
어 밀어 밀어 밀어 밀러오라고하으세요 제발 아 이거 답답해 죽겠네	0	0	0	0	0	0	0	0	1	0
이걸 쳐먹어	0	0	0	0	0	0	0	0	1	0
아 햇갈려서 뒤졌네 제발요 헷갈려 죽겠어	0	0	0	0	0	0	0	0	1	0
아니 강아지 같이 들어야 된다니까 무겁다니까 같이 들어야 된다고	0	0	0	0	0	0	0	0	0	1
그래 그래 형 아니 앞에 아니 비키라고하면 좀 확실히 비켜줘야지	0	0	0	0	0	0	0	0	1	0
남 잘 되는 꼴 못 보는 사람들의 추악한 인간성을 보여주는 게임	0	0	0	0	0	0	0	0	0	1
아니 미친새끼야 다른 누군가가 이 버튼을 누르면 시범을 받습니다	0	0	0	0	0	0	0	0	1	0
아니 그 특유의 웃음이 진짜 개짜증나요	0	0	0	0	0	0	0	0	1	0
아래를 아니 왜 내려놔 흔들린다고해 내려갈때 올라가서 가는거구나	0	0	0	0	0	0	0	0	0	1
아니 한 번에 안 움직이는것이 아니라 빨리 가면 그러는거 같은데	0	0	0	0	0	0	0	0	0	1
아니 파란색 블럭이 왜 여기 와 있냐고 파란색 블럭 옮겨줘야 돼	0	0	0	0	0	0	0	0	0	1
다 끝으로 다 있는 거 못 당겨 붙이면 돼 붙이면 돼 붙이면 돼	0	0	0	0	0	0	0	0	0	1
다 붙지 말라고 바싹 붙지 말라고 아니 6번 새치기 하지 마세요	0	0	0	0	0	0	0	0	0	1
그 쓰레기라는 것이 나쁜 뜻의 쓰레기가 아니라 해봐 해봐 해봐	0	0	0	0	0	0	0	0	1	0
아니 버리고 올라가봐 버리고 올라가봐 끝까지 날 버리지 않는군	0	0	0	0	0	0	0	0	0	1
네 훔치기가 아니고요 아 님들 이거 왼쪽으로 가는것이 맞습니다	0	0	0	0	0	0	0	0	0	1
아 나 이거 잘 못하는데 아니 이거 못한다고 하니까 못하는거야	0	0	0	0	0	0	0	0	1	0
아이씨 야 한 줄 한 줄 한 줄 한 줄 한 줄 한 줄 지나가요	0	0	0	0	0	0	0	0	1	0
아니 어떻게 실제로 죽나 해서 아 그것도야 나는 궁금하긴 하다	0	0	0	0	0	0	0	0	0	1
아니 도깨야 방패는 중앙에 있어야 된다니까 위로 올라가지 말고	0	0	0	0	0	0	0	0	0	1
한명씩 살금살금 8분만 가봐 8분만 8번만 가야되는거 아니야	0	0	0	0	0	0	0	0	0	1
침착하게 침착하게 침착하게 나도 하기 싫은데 폭언을 해야돼요	0	0	0	0	0	0	0	0	0	1
두 개 조작하는 것이 아니라 두 명이서 하는 협동 게임입니다	0	0	0	0	0	0	0	0	0	1
와 아아 goo [유저] [유저] 벌써 빨리 와아아 지나가네	0	0	0	0	0	0	0	0	0	1
아니 잠깐만 어차피 욕이 한 번 먹고 끝나면 되는 거 아니야	0	0	0	0	0	0	0	0	0	1
아니 왜 A키만 누르라고 A키 아니 아니 반복 노동이 안 돼	0	0	0	0	0	0	0	0	0	1
살짝 올라와 딱딱딱딱딱딱 아 나 진짜 열받네 미우치게 해 줘	0	0	0	0	0	0	0	0	1	0
계단 계단 타고 올라가 계단 만들어 아니야 그냥 올라가면 돼	0	0	0	0	0	0	0	0	0	1
아냐아냐 모를 수 있어 박대가리면 아니 더밀어 더밀어 알았어	0	0	0	0	0	0	0	0	1	0
아이고야 정말 화가나서 못하겠거든 자기 위치에 공이 사라졌어	0	0	0	0	0	0	0	0	1	0
오지마 아니 아니 오지마 올라가 여기서 점프해서 개시운거였다	0	0	0	0	0	0	0	0	0	1
아니 이것이 [유저] 님이 끌어줄 때까지 기다려줘서 아 뭐야	0	0	0	0	0	0	0	0	0	1
